MittausID;Pvm;Vuosi;Kuukausi;Tunti;Viikonpäivä;PP_1;PP_2;PP_YHT;JK_1;JK_2;JK_YHT
294;02.11.2015;2015;11;00;Maanantai;0;0;0;0;0;0
294;02.11.2015;2015;11;01;Maanantai;0;0;0;0;0;0
294;02.11.2015;2015;11;02;Maanantai;0;0;0;0;0;0
294;02.11.2015;2015;11;03;Maanantai;0;0;0;0;0;0
294;02.11.2015;2015;11;04;Maanantai;0;0;0;0;0;0
294;02.11.2015;2015;11;05;Maanantai;0;0;0;0;2;2
294;02.11.2015;2015;11;06;Maanantai;3;3;6;2;2;4
294;02.11.2015;2015;11;07;Maanantai;16;10;26;7;6;13
294;02.11.2015;2015;11;08;Maanantai;21;9;30;5;8;13
294;02.11.2015;2015;11;09;Maanantai;8;11;19;17;11;28
294;02.11.2015;2015;11;10;Maanantai;13;5;18;8;6;14
294;02.11.2015;2015;11;11;Maanantai;11;8;19;25;17;42
294;02.11.2015;2015;11;12;Maanantai;11;14;25;21;14;35
294;02.11.2015;2015;11;13;Maanantai;18;20;38;8;9;17
294;02.11.2015;2015;11;14;Maanantai;14;19;33;22;15;37
294;02.11.2015;2015;11;15;Maanantai;25;21;46;16;12;28
294;02.11.2015;2015;11;16;Maanantai;19;23;42;13;17;30
294;02.11.2015;2015;11;17;Maanantai;16;15;31;13;13;26
294;02.11.2015;2015;11;18;Maanantai;14;11;25;19;22;41
294;02.11.2015;2015;11;19;Maanantai;13;11;24;25;16;41
294;02.11.2015;2015;11;20;Maanantai;8;7;15;7;4;11
294;02.11.2015;2015;11;21;Maanantai;0;2;2;0;4;4
294;02.11.2015;2015;11;22;Maanantai;0;2;2;0;0;0
294;02.11.2015;2015;11;23;Maanantai;2;0;2;0;1;1
294;03.11.2015;2015;11;00;Tiistai;0;0;0;0;0;0
294;03.11.2015;2015;11;01;Tiistai;0;0;0;0;0;0
294;03.11.2015;2015;11;02;Tiistai;0;1;1;0;0;0
294;03.11.2015;2015;11;03;Tiistai;0;0;0;0;0;0
294;03.11.2015;2015;11;04;Tiistai;0;0;0;0;0;0
294;03.11.2015;2015;11;05;Tiistai;0;0;0;0;0;0
294;03.11.2015;2015;11;06;Tiistai;4;2;6;5;2;7
294;03.11.2015;2015;11;07;Tiistai;15;8;23;1;8;9
294;03.11.2015;2015;11;08;Tiistai;16;5;21;14;5;19
294;03.11.2015;2015;11;09;Tiistai;20;5;25;9;16;25
294;03.11.2015;2015;11;10;Tiistai;4;14;18;17;13;30
294;03.11.2015;2015;11;11;Tiistai;5;12;17;10;22;32
294;03.11.2015;2015;11;12;Tiistai;11;12;23;17;26;43
294;03.11.2015;2015;11;13;Tiistai;12;21;33;22;14;36
294;03.11.2015;2015;11;14;Tiistai;11;19;30;7;14;21
294;03.11.2015;2015;11;15;Tiistai;27;24;51;13;15;28
294;03.11.2015;2015;11;16;Tiistai;15;20;35;12;9;21
294;03.11.2015;2015;11;17;Tiistai;18;6;24;7;5;12
294;03.11.2015;2015;11;18;Tiistai;14;11;25;20;15;35
294;03.11.2015;2015;11;19;Tiistai;3;13;16;11;10;21
294;03.11.2015;2015;11;20;Tiistai;1;3;4;4;8;12
294;03.11.2015;2015;11;21;Tiistai;1;3;4;0;1;1
294;03.11.2015;2015;11;22;Tiistai;0;1;1;2;1;3
294;03.11.2015;2015;11;23;Tiistai;0;0;0;0;0;0
294;04.11.2015;2015;11;00;Keskiviikko;0;0;0;0;0;0
294;04.11.2015;2015;11;01;Keskiviikko;0;0;0;0;0;0
