MittausID;Pvm;Vuosi;Kuukausi;Tunti;Viikonpäivä;PP_1;PP_2;PP_YHT
622;06.02.2017;2017;02;00;Maanantai;0;2;2
622;06.02.2017;2017;02;01;Maanantai;1;0;1
622;06.02.2017;2017;02;02;Maanantai;0;0;0
622;06.02.2017;2017;02;03;Maanantai;0;0;0
622;06.02.2017;2017;02;04;Maanantai;1;0;1
622;06.02.2017;2017;02;05;Maanantai;0;0;0
622;06.02.2017;2017;02;06;Maanantai;2;5;7
622;06.02.2017;2017;02;07;Maanantai;8;20;28
622;06.02.2017;2017;02;08;Maanantai;20;24;44
622;06.02.2017;2017;02;09;Maanantai;28;28;56
622;06.02.2017;2017;02;10;Maanantai;23;15;38
622;06.02.2017;2017;02;11;Maanantai;8;14;22
622;06.02.2017;2017;02;12;Maanantai;10;16;26
622;06.02.2017;2017;02;13;Maanantai;19;20;39
622;06.02.2017;2017;02;14;Maanantai;16;12;28
622;06.02.2017;2017;02;15;Maanantai;29;26;55
622;06.02.2017;2017;02;16;Maanantai;37;15;52
622;06.02.2017;2017;02;17;Maanantai;51;26;77
622;06.02.2017;2017;02;18;Maanantai;13;22;35
622;06.02.2017;2017;02;19;Maanantai;26;15;41
622;06.02.2017;2017;02;20;Maanantai;13;5;18
622;06.02.2017;2017;02;21;Maanantai;13;7;20
622;06.02.2017;2017;02;22;Maanantai;7;5;12
622;06.02.2017;2017;02;23;Maanantai;3;3;6
622;07.02.2017;2017;02;00;Tiistai;0;1;1
622;07.02.2017;2017;02;01;Tiistai;0;1;1
622;07.02.2017;2017;02;02;Tiistai;0;0;0
622;07.02.2017;2017;02;03;Tiistai;0;0;0
622;07.02.2017;2017;02;04;Tiistai;0;0;0
622;07.02.2017;2017;02;05;Tiistai;0;1;1
622;07.02.2017;2017;02;06;Tiistai;4;6;10
622;07.02.2017;2017;02;07;Tiistai;7;19;26
622;07.02.2017;2017;02;08;Tiistai;26;29;55
622;07.02.2017;2017;02;09;Tiistai;25;19;44
622;07.02.2017;2017;02;10;Tiistai;15;17;32
622;07.02.2017;2017;02;11;Tiistai;7;8;15
622;07.02.2017;2017;02;12;Tiistai;9;16;25
622;07.02.2017;2017;02;13;Tiistai;16;9;25
622;07.02.2017;2017;02;14;Tiistai;13;15;28
622;07.02.2017;2017;02;15;Tiistai;22;20;42
622;07.02.2017;2017;02;16;Tiistai;20;16;36
622;07.02.2017;2017;02;17;Tiistai;36;21;57
622;07.02.2017;2017;02;18;Tiistai;23;15;38
622;07.02.2017;2017;02;19;Tiistai;23;11;34
622;07.02.2017;2017;02;20;Tiistai;16;5;21
622;07.02.2017;2017;02;21;Tiistai;12;5;17
622;07.02.2017;2017;02;22;Tiistai;9;8;17
622;07.02.2017;2017;02;23;Tiistai;2;4;6
622;08.02.2017;2017;02;00;Keskiviikko;1;2;3
622;08.02.2017;2017;02;01;Keskiviikko;0;2;2
622;08.02.2017;2017;02;02;Keskiviikko;2;2;4
622;08.02.2017;2017;02;03;Keskiviikko;1;1;2
622;08.02.2017;2017;02;04;Keskiviikko;0;0;0
622;08.02.2017;2017;02;05;Keskiviikko;2;2;4
622;08.02.2017;2017;02;06;Keskiviikko;6;2;8
622;08.02.2017;2017;02;07;Keskiviikko;20;5;25
622;08.02.2017;2017;02;08;Keskiviikko;29;17;46
622;08.02.2017;2017;02;09;Keskiviikko;22;26;48
622;08.02.2017;2017;02;10;Keskiviikko;14;14;28
622;08.02.2017;2017;02;11;Keskiviikko;12;4;16
622;08.02.2017;2017;02;12;Keskiviikko;13;7;20
622;08.02.2017;2017;02;13;Keskiviikko;9;14;23
622;08.02.2017;2017;02;14;Keskiviikko;19;9;28
622;08.02.2017;2017;02;15;Keskiviikko;15;22;37
622;08.02.2017;2017;02;16;Keskiviikko;19;37;56
622;08.02.2017;2017;02;17;Keskiviikko;16;39;55
622;08.02.2017;2017;02;18;Keskiviikko;19;21;40
622;08.02.2017;2017;02;19;Keskiviikko;10;16;26
622;08.02.2017;2017;02;20;Keskiviikko;10;19;29
622;08.02.2017;2017;02;21;Keskiviikko;13;14;27
622;08.02.2017;2017;02;22;Keskiviikko;4;8;12
622;08.02.2017;2017;02;23;Keskiviikko;6;2;8
622;09.02.2017;2017;02;00;Torstai;0;0;0
622;09.02.2017;2017;02;01;Torstai;0;0;0
622;09.02.2017;2017;02;02;Torstai;1;2;3
622;09.02.2017;2017;02;03;Torstai;0;0;0
622;09.02.2017;2017;02;04;Torstai;0;0;0
622;09.02.2017;2017;02;05;Torstai;0;2;2
622;09.02.2017;2017;02;06;Torstai;1;1;2
622;09.02.2017;2017;02;07;Torstai;5;9;14
622;09.02.2017;2017;02;08;Torstai;11;13;24
622;09.02.2017;2017;02;09;Torstai;23;14;37
622;09.02.2017;2017;02;10;Torstai;4;13;17
622;09.02.2017;2017;02;11;Torstai;8;6;14
622;09.02.2017;2017;02;12;Torstai;10;9;19
622;09.02.2017;2017;02;13;Torstai;7;4;11
622;09.02.2017;2017;02;14;Torstai;10;8;18
622;09.02.2017;2017;02;15;Torstai;13;8;21
622;09.02.2017;2017;02;16;Torstai;18;15;33
622;09.02.2017;2017;02;17;Torstai;25;18;43
622;09.02.2017;2017;02;18;Torstai;15;17;32
622;09.02.2017;2017;02;19;Torstai;21;11;32
